Sec,Ah,V,A,S,D
118.63,6.0,58.77,0.0,0.0,0.0
118.83,18.0,68.77,0.0,0.0,0.0
119.04,13.0,67.77,0.0,0.0,0.0
119.25,15.0,66.77,0.0,0.0,0.0
119.45,13.0,60.77,0.0,0.0,0.0
119.66,8.0,66.77,0.0,0.0,0.0
119.86,7.0,62.77,0.0,0.0,0.0
120.07,8.0,66.77,0.0,0.0,0.0
0.2,11.0,61.77,0.0,0.0,0.0
0.42,15.0,61.77,0.0,0.0,0.0
0.64,9.0,61.77,0.0,0.0,0.0
0.84,6.0,61.77,0.0,0.0,0.0
1.04,21.0,59.77,0.0,0.0,0.0
1.25,14.0,61.77,0.0,0.0,0.0
1.46,19.0,63.77,0.0,0.0,0.0
1.67,16.0,65.77,0.0,0.0,0.0
1.89,9.0,61.77,0.0,0.0,0.0
2.09,21.0,63.77,0.0,0.0,0.0
2.3,9.0,60.77,0.0,0.0,0.0
2.51,13.0,63.77,0.0,0.0,0.0
2.73,11.0,58.77,0.0,0.0,0.0
2.94,18.0,65.77,0.0,0.0,0.0
3.15,21.0,67.77,0.0,0.0,0.0
3.36,19.0,65.77,0.0,0.0,0.0
3.56,12.0,59.77,0.0,0.0,0.0
3.77,19.0,65.77,0.0,0.0,0.0
3.97,17.0,66.77,0.0,0.0,0.0
4.18,20.0,60.77,0.0,0.0,0.0
4.39,12.0,60.77,0.0,0.0,0.0
4.59,8.0,64.77,0.0,0.0,0.0
4.8,11.0,66.77,0.0,0.0,0.0
5.01,18.0,63.77,0.0,0.0,0.0
5.21,15.0,66.77,0.0,0.0,0.0
5.42,12.0,61.77,0.0,0.0,0.0
5.65,20.0,58.77,0.0,0.0,0.0
5.87,16.0,65.77,0.0,0.0,0.0
6.07,16.0,59.77,0.0,0.0,0.0
6.29,9.0,64.77,0.0,0.0,0.0
6.5,16.0,58.77,0.0,0.0,0.0
6.7,18.0,62.77,0.0,0.0,0.0
6.93,11.0,58.77,0.0,0.0,0.0
7.14,21.0,58.77,0.0,0.0,0.0
7.34,14.0,60.77,0.0,0.0,0.0
7.54,11.0,61.77,0.0,0.0,0.0
7.75,18.0,68.77,0.0,0.0,0.0
7.95,14.0,68.77,0.0,0.0,0.0
8.16,10.0,64.77,0.0,0.0,0.0
8.38,9.0,66.77,0.0,0.0,0.0
8.58,12.0,59.77,0.0,0.0,0.0
8.79,14.0,61.77,0.0,0.0,0.0
9.01,11.0,58.77,0.0,0.0,0.0
9.23,6.0,63.77,0.0,0.0,0.0
9.44,16.0,67.77,0.0,0.0,0.0
9.66,8.0,68.77,0.0,0.0,0.0
9.87,11.0,65.77,0.0,0.0,0.0
10.08,5.0,65.77,0.0,0.0,0.0
10.29,17.0,61.77,0.0,0.0,0.0
10.5,18.0,60.77,0.0,0.0,0.0
10.71,9.0,59.77,0.0,0.0,0.0
10.92,21.0,61.77,0.0,0.0,0.0
11.12,8.0,63.77,0.0,0.0,0.0
11.35,11.0,61.77,0.0,0.0,0.0
11.55,20.0,60.77,0.0,0.0,0.0
11.77,16.0,64.77,0.0,0.0,0.0
11.97,14.0,67.77,0.0,0.0,0.0
12.2,5.0,60.77,0.0,0.0,0.0
12.4,15.0,62.77,0.0,0.0,0.0
12.61,15.0,63.77,0.0,0.0,0.0
12.81,18.0,65.77,0.0,0.0,0.0
13.01,9.0,59.77,0.0,0.0,0.0
13.22,7.0,67.77,0.0,0.0,0.0
13.42,21.0,62.77,0.0,0.0,0.0
13.63,13.0,63.77,0.0,0.0,0.0
13.84,8.0,58.77,0.0,0.0,0.0
14.04,5.0,63.77,0.0,0.0,0.0
14.25,5.0,68.77,0.0,0.0,0.0
14.45,15.0,65.77,0.0,0.0,0.0
14.66,15.0,62.77,0.0,0.0,0.0
14.87,11.0,60.77,0.0,0.0,0.0
15.08,7.0,60.77,0.0,0.0,0.0
15.29,9.0,62.77,0.0,0.0,0.0
15.49,11.0,66.77,0.0,0.0,0.0
15.71,11.0,58.77,0.0,0.0,0.0
15.92,8.0,63.77,0.0,0.0,0.0
16.12,11.0,61.77,0.0,0.0,0.0
16.33,6.0,65.77,0.0,0.0,0.0
16.53,14.0,62.77,0.0,0.0,0.0
16.74,15.0,66.77,0.0,0.0,0.0
16.94,14.0,67.77,0.0,0.0,0.0
17.14,14.0,68.77,0.0,0.0,0.0
17.36,15.0,59.77,0.0,0.0,0.0
17.58,19.0,66.77,0.0,0.0,0.0
17.79,11.0,58.77,0.0,0.0,0.0
18.01,14.0,64.77,0.0,0.0,0.0
18.22,11.0,64.77,0.0,0.0,0.0
18.43,17.0,63.77,0.0,0.0,0.0
18.63,9.0,64.77,0.0,0.0,0.0
18.84,14.0,68.77,0.0,0.0,0.0
19.04,20.0,64.77,0.0,0.0,0.0
19.25,16.0,64.77,0.0,0.0,0.0
19.45,21.0,63.77,0.0,0.0,0.0
19.66,19.0,64.77,0.0,0.0,0.0
19.87,9.0,65.77,0.0,0.0,0.0
20.07,12.0,62.77,0.0,0.0,0.0
20.28,14.0,58.77,0.0,0.0,0.0
20.48,20.0,58.77,0.0,0.0,0.0
20.69,9.0,65.77,0.0,0.0,0.0
20.9,7.0,60.77,0.0,0.0,0.0
21.1,14.0,62.77,0.0,0.0,0.0
21.31,10.0,63.77,0.0,0.0,0.0
21.51,15.0,59.77,0.0,0.0,0.0
21.72,14.0,62.77,0.0,0.0,0.0
21.93,17.0,61.77,0.0,0.0,0.0
22.13,20.0,59.77,0.0,0.0,0.0
22.34,13.0,68.77,0.0,0.0,0.0
22.54,6.0,64.77,0.0,0.0,0.0
22.75,18.0,63.77,0.0,0.0,0.0
22.95,10.0,58.77,0.0,0.0,0.0
23.16,6.0,61.77,0.0,0.0,0.0
23.36,11.0,59.77,0.0,0.0,0.0
23.57,15.0,66.77,0.0,0.0,0.0
23.78,21.0,59.77,0.0,0.0,0.0
23.99,6.0,67.77,0.0,0.0,0.0
24.2,7.0,68.77,0.0,0.0,0.0
24.41,21.0,67.77,0.0,0.0,0.0
24.61,9.0,60.77,0.0,0.0,0.0
24.81,6.0,58.77,0.0,0.0,0.0
25.03,8.0,65.77,0.0,0.0,0.0
25.23,12.0,66.77,0.0,0.0,0.0
25.44,20.0,62.77,0.0,0.0,0.0
25.65,14.0,61.77,0.0,0.0,0.0
25.85,13.0,65.77,0.0,0.0,0.0
26.07,14.0,64.77,0.0,0.0,0.0
26.28,10.0,63.77,0.0,0.0,0.0
26.48,8.0,58.77,0.0,0.0,0.0
26.68,9.0,58.77,0.0,0.0,0.0
26.9,6.0,65.77,0.0,0.0,0.0
27.1,13.0,62.77,0.0,0.0,0.0
27.32,20.0,59.77,0.0,0.0,0.0
27.54,8.0,65.77,0.0,0.0,0.0
27.76,9.0,59.77,0.0,0.0,0.0
27.97,21.0,66.77,0.0,0.0,0.0
28.19,11.0,65.77,0.0,0.0,0.0
28.39,14.0,58.77,0.0,0.0,0.0
28.59,7.0,60.77,0.0,0.0,0.0
28.8,15.0,67.77,0.0,0.0,0.0
29.0,10.0,63.77,0.0,0.0,0.0
29.2,10.0,66.77,0.0,0.0,0.0
29.41,16.0,63.77,0.0,0.0,0.0
29.62,5.0,61.77,0.0,0.0,0.0
29.83,6.0,64.77,0.0,0.0,0.0
30.04,16.0,66.77,0.0,0.0,0.0
30.24,19.0,63.77,0.0,0.0,0.0
30.44,14.0,68.77,0.0,0.0,0.0
30.66,12.0,62.77,0.0,0.0,0.0
30.86,20.0,63.77,0.0,0.0,0.0
31.07,10.0,61.77,0.0,0.0,0.0
31.27,18.0,64.77,0.0,0.0,0.0
31.48,7.0,68.77,0.0,0.0,0.0
31.7,17.0,58.77,0.0,0.0,0.0
31.9,17.0,59.77,0.0,0.0,0.0
32.12,13.0,65.77,0.0,0.0,0.0
32.33,13.0,59.77,0.0,0.0,0.0
32.54,18.0,66.77,0.0,0.0,0.0
32.74,21.0,60.77,0.0,0.0,0.0
32.94,5.0,63.77,0.0,0.0,0.0
33.15,19.0,60.77,0.0,0.0,0.0
33.35,11.0,60.77,0.0,0.0,0.0
33.55,18.0,64.77,0.0,0.0,0.0
33.76,18.0,63.77,0.0,0.0,0.0
33.96,11.0,65.77,0.0,0.0,0.0
34.16,8.0,65.77,0.0,0.0,0.0
34.38,13.0,63.77,0.0,0.0,0.0
34.6,5.0,68.77,0.0,0.0,0.0
34.8,10.0,64.77,0.0,0.0,0.0
35.0,7.0,60.77,0.0,0.0,0.0
35.2,16.0,62.77,0.0,0.0,0.0
35.42,19.0,62.77,0.0,0.0,0.0
35.62,15.0,68.77,0.0,0.0,0.0
35.84,18.0,68.77,0.0,0.0,0.0
36.05,20.0,62.77,0.0,0.0,0.0
36.26,15.0,62.77,0.0,0.0,0.0
36.47,16.0,60.77,0.0,0.0,0.0
36.69,12.0,66.77,0.0,0.0,0.0
36.9,13.0,60.77,0.0,0.0,0.0
37.13,11.0,68.77,0.0,0.0,0.0
37.35,5.0,63.77,0.0,0.0,0.0
37.56,5.0,64.77,0.0,0.0,0.0
37.77,14.0,64.77,0.0,0.0,0.0
37.97,8.0,68.77,0.0,0.0,0.0
38.18,13.0,59.77,0.0,0.0,0.0
38.39,18.0,65.77,0.0,0.0,0.0
38.61,6.0,58.77,0.0,0.0,0.0
38.82,6.0,66.77,0.0,0.0,0.0
39.04,8.0,67.77,0.0,0.0,0.0
39.26,16.0,63.77,0.0,0.0,0.0
39.47,8.0,64.77,0.0,0.0,0.0
39.69,21.0,60.77,0.0,0.0,0.0
39.89,8.0,60.77,0.0,0.0,0.0
40.11,5.0,62.77,0.0,0.0,0.0
40.33,20.0,58.77,0.0,0.0,0.0
40.54,16.0,58.77,0.0,0.0,0.0
40.76,6.0,67.77,0.0,0.0,0.0
40.98,15.0,66.77,0.0,0.0,0.0
41.19,20.0,61.77,0.0,0.0,0.0
41.41,16.0,66.77,0.0,0.0,0.0
41.62,16.0,59.77,0.0,0.0,0.0
41.82,17.0,65.77,0.0,0.0,0.0
42.04,12.0,58.77,0.0,0.0,0.0
42.25,7.0,61.77,0.0,0.0,0.0
42.46,6.0,59.77,0.0,0.0,0.0
42.67,21.0,59.77,0.0,0.0,0.0
42.87,14.0,67.77,0.0,0.0,0.0
43.09,11.0,58.77,0.0,0.0,0.0
43.29,21.0,61.77,0.0,0.0,0.0
43.51,18.0,65.77,0.0,0.0,0.0
43.72,20.0,61.77,0.0,0.0,0.0
43.92,10.0,61.77,0.0,0.0,0.0
44.14,16.0,63.77,0.0,0.0,0.0
44.34,10.0,58.77,0.0,0.0,0.0
44.55,10.0,63.77,0.0,0.0,0.0
44.75,8.0,61.77,0.0,0.0,0.0
44.96,10.0,58.77,0.0,0.0,0.0
45.17,7.0,59.77,0.0,0.0,0.0
45.38,15.0,59.77,0.0,0.0,0.0
45.59,16.0,58.77,0.0,0.0,0.0
45.81,8.0,58.77,0.0,0.0,0.0
46.02,18.0,68.77,0.0,0.0,0.0
46.23,11.0,59.77,0.0,0.0,0.0
46.44,20.0,61.77,0.0,0.0,0.0
46.64,9.0,64.77,0.0,0.0,0.0
46.86,20.0,66.77,0.0,0.0,0.0
47.06,19.0,68.77,0.0,0.0,0.0
47.27,9.0,59.77,0.0,0.0,0.0
47.49,16.0,60.77,0.0,0.0,0.0
47.7,16.0,62.77,0.0,0.0,0.0
47.92,16.0,66.77,0.0,0.0,0.0
48.12,18.0,61.77,0.0,0.0,0.0
48.33,11.0,65.77,0.0,0.0,0.0
48.54,12.0,65.77,0.0,0.0,0.0
48.74,10.0,63.77,0.0,0.0,0.0
48.95,18.0,60.77,0.0,0.0,0.0
49.15,17.0,68.77,0.0,0.0,0.0
49.36,11.0,61.77,0.0,0.0,0.0
49.57,20.0,61.77,0.0,0.0,0.0
49.78,5.0,66.77,0.0,0.0,0.0
49.99,14.0,67.77,0.0,0.0,0.0
50.2,13.0,63.77,0.0,0.0,0.0
50.42,20.0,66.77,0.0,0.0,0.0
50.62,7.0,58.77,0.0,0.0,0.0
50.84,8.0,66.77,0.0,0.0,0.0
51.04,13.0,68.77,0.0,0.0,0.0
51.26,11.0,63.77,0.0,0.0,0.0
51.47,19.0,58.77,0.0,0.0,0.0
51.68,8.0,61.77,0.0,0.0,0.0
51.9,18.0,60.77,0.0,0.0,0.0
52.1,16.0,68.77,0.0,0.0,0.0
52.31,12.0,64.77,0.0,0.0,0.0
52.52,17.0,68.77,0.0,0.0,0.0
52.74,12.0,59.77,0.0,0.0,0.0
52.94,19.0,61.77,0.0,0.0,0.0
53.16,8.0,63.77,0.0,0.0,0.0
53.36,15.0,65.77,0.0,0.0,0.0
53.57,13.0,61.77,0.0,0.0,0.0
53.78,15.0,64.77,0.0,0.0,0.0
53.99,16.0,64.77,0.0,0.0,0.0
54.21,14.0,60.77,0.0,0.0,0.0
54.42,14.0,66.77,0.0,0.0,0.0
54.62,21.0,64.77,0.0,0.0,0.0
54.83,9.0,65.77,0.0,0.0,0.0
55.04,13.0,62.77,0.0,0.0,0.0
55.24,9.0,59.77,0.0,0.0,0.0
55.46,16.0,64.77,0.0,0.0,0.0
55.66,9.0,63.77,0.0,0.0,0.0
55.87,21.0,58.77,0.0,0.0,0.0
56.08,11.0,63.77,0.0,0.0,0.0
56.29,14.0,66.77,0.0,0.0,0.0
56.49,20.0,64.77,0.0,0.0,0.0
56.71,21.0,60.77,0.0,0.0,0.0
56.91,17.0,68.77,0.0,0.0,0.0
57.12,9.0,65.77,0.0,0.0,0.0
57.34,16.0,65.77,0.0,0.0,0.0
57.54,5.0,60.77,0.0,0.0,0.0
57.76,7.0,64.77,0.0,0.0,0.0
57.96,19.0,67.77,0.0,0.0,0.0
58.18,14.0,60.77,0.0,0.0,0.0
